Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1770000,1.3955214,-0.2887092,822.3,-3.4468004584312437,-3.4468004584312437,1.0
1780000,1.3950517,-0.114540145,536.6086956521739,-0.1999567254729893,-0.1999567254729893,1.0
1790000,1.3950781,-0.19888794,549.0588235294117,-0.2376472844797022,-0.2376472844797022,1.0
1800000,1.3951771,-0.30350474,582.5882352941177,-0.4577060517142801,-0.4577060517142801,1.0
1810000,1.3951366,-0.24581054,548.0,-0.2574002186457316,-0.2574002186457316,1.0
1820000,1.3944246,-0.15655509,638.1111111111111,-1.5262780355082617,-1.5262780355082617,1.0
1830000,1.3943099,-0.1832767,637.6842105263158,-1.2901179159388823,-1.2901179159388823,1.0
1840000,1.3925267,-0.169769,655.3846153846154,-1.5304670214653016,-1.5304670214653016,1.0
1850000,1.3924296,-0.27443537,596.6,-0.8647336562474569,-0.8647336562474569,1.0
1860000,1.3912741,-0.34836364,694.75,-1.9764169851938884,-1.9764169851938884,1.0
1870000,1.3912741,-0.23198867,535.9,-0.3973501920700073,-0.3973501920700073,1.0
1880000,1.3905749,-0.21149006,507.25,0.0192997545003891,0.0192997545003891,1.0
1890000,1.3905073,-0.16292748,574.0952380952381,-0.684809820992606,-0.684809820992606,1.0
1900000,1.3902533,-0.29885605,620.25,-1.1395627409219742,-1.1395627409219742,1.0
1910000,1.390229,-0.25065845,545.5,-0.39375029131770134,-0.39375029131770134,1.0
1920000,1.3900737,-0.28822032,650.0625,-1.6201253198087215,-1.6201253198087215,1.0
1930000,1.3900229,-0.24874759,540.0,-0.4496252052485943,-0.4496252052485943,1.0
1940000,1.3903008,-0.31996015,758.5714285714286,-2.6767145906175887,-2.6767145906175887,1.0
1950000,1.3903883,-0.26161113,693.7058823529412,-1.759562823921442,-1.759562823921442,1.0
1960000,1.3905251,-0.26749006,555.125,-0.7561179750105914,-0.7561179750105914,1.0
1970000,1.3905653,-0.22223352,560.75,-0.5462502278387547,-0.5462502278387547,1.0
1980000,1.3902638,-0.2661194,649.5,-1.5360558562808566,-1.5360558562808566,1.0
1990000,1.3900993,-0.28972748,663.0714285714286,-1.434077221613664,-1.434077221613664,1.0
2000000,1.3897812,-0.23252058,551.0526315789474,-0.8009502857923507,-0.8009502857923507,1.0
2010000,1.3895042,-0.26545236,468.10526315789474,0.3473681838888871,0.3473681838888871,1.0
2020000,1.3889557,-0.3122768,806.9285714285714,-3.173846565760099,-3.173846565760099,1.0
2030000,1.3884233,-0.22301522,567.7894736842105,-0.908350333571434,-0.908350333571434,1.0
2040000,1.3882589,-0.17792726,523.1176470588235,-0.21629429915372064,-0.21629429915372064,1.0
2050000,1.3880666,-0.25073722,549.6875,-0.5008752383291721,-0.5008752383291721,1.0
2060000,1.3881338,-0.2532158,531.4,-0.10073707291954442,-0.10073707291954442,1.0
2070000,1.3882433,-0.1675128,427.3333333333333,0.6107597804069519,0.6107597804069519,1.0
2080000,1.3886082,-0.23499072,597.1111111111111,-1.2930003334494198,-1.2930003334494198,1.0
2090000,1.3892572,0.020770451,377.2962962962963,1.6527141758373805,1.6527141758373805,1.0
2100000,1.3894643,-0.07000181,475.8421052631579,0.36394720955898885,0.36394720955898885,1.0
2110000,1.3898298,-0.050562527,443.04761904761904,0.7578093154089791,0.7578093154089791,1.0
2120000,1.3895202,-0.14750268,556.0,-0.1966317892074585,-0.1966317892074585,1.0
2130000,1.3886107,-0.090797715,377.0,1.1355355318103517,1.1355355318103517,1.0
2140000,1.3883605,-0.23420867,554.875,-0.40212517604231834,-0.40212517604231834,1.0
2150000,1.3874677,-0.0997776,532.5263157894736,-0.17468441473810295,-0.17468441473810295,1.0
2160000,1.3874942,-0.11073302,593.7647058823529,-0.7861178657587837,-0.7861178657587837,1.0
2170000,1.3877558,-0.17643608,566.0588235294117,-0.5615884311058942,-0.5615884311058942,1.0
2180000,1.3877765,-0.05043546,431.125,1.1425215446430703,1.1425215446430703,1.0
2190000,1.3877294,-0.017609715,486.4761904761905,0.049317880110307175,0.049317880110307175,1.0
2200000,1.3877411,-0.10974804,510.25,-0.18115810971511037,-0.18115810971511037,1.0
2210000,1.3878667,-0.21080714,504.0,0.43317629659877105,0.43317629659877105,1.0
2220000,1.3878336,-0.14155397,488.88,0.5851497530937195,0.5851497530937195,1.0
2230000,1.3873026,0.06300334,325.82608695652175,1.3802855908870697,1.3802855908870697,1.0
2240000,1.3871862,-0.15387896,565.4074074074074,-0.07736870803331074,-0.07736870803331074,1.0
2250000,1.3852446,-0.09902539,538.7857142857143,-1.075047913051787,-1.075047913051787,1.0
2260000,1.3852446,0.036981925,509.1666666666667,0.28257865341086136,0.28257865341086136,1.0
2270000,1.3840201,0.047441248,386.1666666666667,1.3907198238372802,1.3907198238372802,1.0
2280000,1.3838403,-0.18203719,500.05,0.13494975566864015,0.13494975566864015,1.0
2290000,1.383801,-0.07170739,491.75,0.19519979655742645,0.19519979655742645,1.0
2300000,1.3838043,-0.0708181,513.8636363636364,-0.0010911524295806885,-0.0010911524295806885,1.0
2310000,1.3832674,0.046892125,308.5,2.1383436173200607,2.1383436173200607,1.0
2320000,1.3830888,-0.05545582,449.25,0.7337198352813721,0.7337198352813721,1.0
2330000,1.3818327,-0.10318574,453.65,0.6247498154640198,0.6247498154640198,1.0
2340000,1.3813801,0.011144931,455.55,0.6097999095916748,0.6097999095916748,1.0
2350000,1.3806944,-0.16159141,660.25,-1.9675336559613545,-1.9675336559613545,1.0
2360000,1.3803482,-0.013657585,441.95,0.8742855276380267,0.8742855276380267,1.0
2370000,1.3790617,-0.15339096,634.4666666666667,-1.3262669761975607,-1.3262669761975607,1.0
2380000,1.378219,0.17940511,394.6296296296296,1.279148002465566,1.279148002465566,1.0
2390000,1.3780925,0.23235704,309.13793103448273,2.164379191809687,2.164379191809687,1.0
2400000,1.3780549,0.13889362,399.55555555555554,1.229740564469938,1.229740564469938,1.0
2410000,1.3778281,0.02570012,486.4347826086956,0.28139113861581555,0.28139113861581555,1.0
2420000,1.3775595,0.3685782,278.44444444444446,2.4364721410804324,2.4364721410804324,1.0
2430000,1.3769501,0.123545885,330.56666666666666,1.9399998962879181,1.9399998962879181,1.0
2440000,1.3761922,0.010432382,475.42105263157896,0.4626839788336503,0.4626839788336503,1.0
2450000,1.3763436,0.1571351,380.88461538461536,1.4350767319019024,1.4350767319019024,1.0
2460000,1.376606,0.060951553,479.57142857142856,0.35452355941136676,0.35452355941136676,1.0
2470000,1.376727,0.3588897,263.5833333333333,2.6290570769991195,2.6290570769991195,1.0
2480000,1.3769385,0.46535602,374.6666666666667,1.667032172602992,1.667032172602992,1.0
2490000,1.3765574,0.23147403,391.4074074074074,1.3178146415286593,1.3178146415286593,1.0
2500000,1.3755549,0.23773143,373.52,1.3277082021037738,1.3277082021037738,1.0
2510000,1.3752743,0.01707782,539.3125,-0.07629429242190193,-0.07629429242190193,1.0
2520000,1.3742828,0.50698626,284.2857142857143,2.456833243370056,2.456833243370056,1.0
2530000,1.3742081,0.52837235,277.5882352941176,2.5309998901451336,2.5309998901451336,1.0
2540000,1.3738784,0.32817504,357.85185185185185,1.6365924146440294,1.6365924146440294,1.0
2550000,1.3738798,0.26781675,320.2142857142857,1.975481375500008,1.975481375500008,1.0
2560000,1.3738657,0.033853866,513.1904761904761,0.1168634295463562,0.1168634295463562,1.0
2570000,1.3738813,0.27236417,339.68,1.8501598381996154,1.8501598381996154,1.0
2580000,1.374122,0.087262206,538.0,-0.7745911153880033,-0.7745911153880033,1.0
2590000,1.3740995,0.4000568,268.7105263157895,2.504891803135743,2.504891803135743,1.0
2600000,1.3736336,0.39366272,361.6296296296296,1.8246205901277477,1.8246205901277477,1.0
2610000,1.3736421,0.42018119,365.53846153846155,1.2611248642206192,1.2611248642206192,1.0
2620000,1.3738562,0.38955975,328.5,2.1269999146461487,2.1269999146461487,1.0
2630000,1.3738562,0.07598174,523.5,-0.47142126685694646,-0.47142126685694646,1.0
2640000,1.3742278,0.43721426,264.8,2.6630277468098535,2.6630277468098535,1.0
2650000,1.3742617,0.22025591,344.1034482758621,1.8358275047663986,1.8358275047663986,1.0
2660000,1.373877,0.15872172,458.90909090909093,0.579090725291859,0.579090725291859,1.0
2670000,1.3737774,0.09996071,514.6190476190476,-0.10114311036609468,-0.10114311036609468,1.0
2680000,1.3736525,0.7872779,199.36,3.3677999711036684,3.3677999711036684,1.0
2690000,1.3736204,0.53085446,247.3,2.8516998797655106,2.8516998797655106,1.0
2700000,1.373149,0.22164589,427.8333333333333,0.8940414860844612,0.8940414860844612,1.0
2710000,1.3729762,0.49082676,266.225,2.626299852132797,2.626299852132797,1.0
2720000,1.3718407,-0.01973942,568.1333333333333,-0.6417335629463196,-0.6417335629463196,1.0
2730000,1.3712814,0.49071863,312.19444444444446,2.0486285056386677,2.0486285056386677,1.0
2740000,1.3704051,0.6681042,225.61702127659575,3.077382964022616,3.077382964022616,1.0
2750000,1.3699151,0.607755,218.76315789473685,3.3247631035353007,3.3247631035353007,1.0
2760000,1.3692769,0.34957758,304.43333333333334,1.94783850062278,1.94783850062278,1.0
2770000,1.3687896,0.2745886,303.1818181818182,2.203060572797602,2.203060572797602,1.0
2780000,1.3681072,0.6040797,267.8,2.592699943482876,2.592699943482876,1.0
